constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness,cluster
49,Rajshahi,Naogaon-4,16.2,47.2,Ekramul Bari Tipu,BNP,133924.0,Md. Abdur Rakib,Jamaat,97585.0,36339.0,333862,165643,168215,4,Normal,231509.0,57.848290995166494,15.696581990332987,49.61421185999006,50.38459004019625,0.0011980998136954,-0.770378180206194,Moderate,1.0
50,Rajshahi,Naogaon-5,16.2,47.2,Md. Zahidul Islam Dulu,BNP,129385.0,Abu Sadat Md. Sayem,Jamaat,104747.0,24638.0,363030,180031,182994,5,Normal,234132.0,55.26156185399689,10.52312370799378,49.591218356609645,50.40740434674821,0.0013772966421507,-0.816185990138564,Close,1.0
51,Rajshahi,Naogaon-6,16.2,47.2,Sheikh Md. Rezaul Islam,BNP,108866.0,Md. Khabirul Islam,Jamaat,97629.0,11237.0,345416,174350,171061,5,Normal,206495.0,52.72088912564469,5.441778251289377,50.47536883062742,49.52318363943766,0.001447529934919,0.9521851911897556,Close,1.0
52,Rajshahi,Rajshahi-1,15.5,47.2,Mujibur Rahman,Jamaat,171786.0,Md. Sharif Uddin,BNP,169902.0,1884.0,468780,234078,234699,3,Normal,341688.0,50.27569010325209,0.5513802065041792,49.93344425956739,50.06591578138999,0.0006399590426212,-0.1324715218226018,Very Close,1.0
53,Rajshahi,Rajshahi-2,15.5,47.2,Mizanur Rahman Minu,BNP,128546.0,Mohammad Jahangir,Jamaat,100370.0,28176.0,369564,178249,191307,8,Normal,228916.0,56.15422250956683,12.308445019133655,48.23224123561819,51.76559405136864,0.0021647130131722,-3.5333528157504475,Close,1.0
54,Rajshahi,Rajshahi-3,15.5,47.2,Shofiqul Haque Milon,BNP,176318.0,Md. Abul Kalam Azad,Jamaat,137927.0,38391.0,423738,210897,212835,6,Normal,314245.0,56.10845041289439,12.216900825788796,49.77061297311074,50.227971057587474,0.0014159693017855,-0.4573580844767306,Close,1.0
55,Rajshahi,Rajshahi-4,15.5,47.2,Md. Abdul Bari,Jamaat,115226.0,Ziaur Rahman,BNP,109461.0,5765.0,319909,160720,159185,4,Normal,224687.0,51.28289576165955,2.565791523319106,50.23928679718295,49.75946284724719,0.0012503555698651,0.4798239499357635,Very Close,1.0
56,Rajshahi,Rajshahi-5,15.5,47.2,Nazrul Islam,BNP,153425.0,Manzoor Rahman,Jamaat,73445.0,79980.0,376333,187764,188564,5,Normal,226870.0,67.62683475117909,35.25366950235818,49.89304684946577,50.1056245399686,0.0013286105656426,-0.212577690502826,Large,2.0
57,Rajshahi,Rajshahi-6,15.5,47.2,Md. Abu Said Chand,BNP,148672.0,Md. Nazmul Haque,Jamaat,92965.0,55707.0,357054,178068,178984,2,Normal,241637.0,61.52700124567016,23.05400249134032,49.87144801626645,50.12799184437088,0.0005601393626734,-0.2565438281044265,Moderate,1.0
58,Rajshahi,Natore-1,24.4,47.2,Farzana Sharmin,BNP,102726.0,Md. Abul Kalam Azad,Jamaat,90568.0,12158.0,368276,183595,184679,2,Normal,193294.0,53.14495017951928,6.289900359038563,49.852556234997664,50.14690069404468,0.0005430709576513,-0.2943444590470179,Close,1.0
