constituency_no,division,constituency_name,poverty_rate,literacy_rate,winner_candidate,winner_party,winner_votes,runner_candidate,runner_party,runner_votes,margin,total_voters,male_voters,female_voters,transgender_voters,status,top2_votes,winner_share_top2,margin_pct_top2,male_pct,female_pct,transgender_pct,gender_gap,competitiveness
26,Rangpur,Kurigram-2,31.3,46.0,Atiqur Rahman Mojahid,NCP,178869.0,Md. Sohail Hosnain Kaikobad,BNP,170335.0,8534.0,604738,299890,304841,7,Normal,349204.0,51.221921856565224,2.443843713130434,49.59007041065718,50.40877206327367,0.0011575260691406857,-0.8187016526164967,Very Close
27,Rangpur,Kurigram-3,31.3,46.0,Md. Mahbubul Alam,Jamaat,107930.0,Tasvir Ul Islam,BNP,79352.0,28578.0,368470,183064,185406,0,Normal,187282.0,57.6296707638748,15.259341527749598,49.68219936494152,50.31780063505848,0.0,-0.6356012701169647,Moderate
28,Rangpur,Kurigram-4,31.3,46.0,Md. Mostafizur Rahman,Jamaat,108210.0,Md. Azizur Rahman,BNP,84423.0,23787.0,362753,181361,181388,4,Normal,192633.0,56.174175764277145,12.348351528554298,49.99572712010652,50.00317020121129,0.001102678682188707,-0.007443081104767657,Close
29,Rangpur,Gaibandha-1,24.6,46.0,Md. Majedur Rahman,Jamaat,140726.0,Khandaker Ziaul Islam,BNP,37997.0,102729.0,419111,207573,211535,3,Normal,178723.0,78.73972572080817,57.479451441616355,49.5269749541291,50.47230924504487,0.0007158008260341532,-0.9453342909157669,Very Large
30,Rangpur,Gaibandha-2,24.6,46.0,Md. Abdul Karim,Jamaat,122630.0,Anisuzzaman Khan Babu,BNP,92890.0,29740.0,411460,202034,209415,11,Normal,215520.0,56.899591685226426,13.799183370452859,49.10173528411024,50.89559130899723,0.002673406892529043,-1.793856024886992,Close
31,Rangpur,Gaibandha-3,24.6,46.0,Mohammad Nazrul Islam,Jamaat,162457.0,Syed Mainul Hasan Sadiq,BNP,139864.0,22593.0,506185,248901,257275,9,Normal,302321.0,53.736591239113395,7.473182478226785,49.17194306429467,50.826278929640345,0.001778006064976244,-1.6543358653456721,Close
32,Rangpur,Gaibandha-4,24.6,46.0,Shamim Kaisar Lincoln,BNP,142772.0,Md. Abdur Rahim Sarkar,Jamaat,139738.0,3034.0,468384,231616,236758,10,Normal,282510.0,50.53697214257903,1.0739442851580474,49.45002391200383,50.547841087654575,0.0021350003416000544,-1.0978171756507464,Very Close
33,Rangpur,Gaibandha-5,24.6,46.0,Md. Abdul Warres,Jamaat,89274.0,Md. Farooq Alam Sarkar,BNP,73483.0,15791.0,385261,192277,192981,3,Normal,162757.0,54.85109703422894,9.702194068457885,49.90824402158537,50.09097728552852,0.0007786928861213566,-0.18273326394314893,Close
34,Rajshahi,Joypurhat-1,15.1,47.2,Md. Fazlur Rahman Sayeed,Jamaat,165192.0,Md. Masud Rana Pradhan,BNP,155309.0,9883.0,466274,231984,234282,8,Normal,320501.0,51.54180486176331,3.0836097235266036,49.752720503395,50.245563767227,0.0017157293780052073,-0.4928432638320004,Very Close
35,Rajshahi,Joypurhat-2,15.1,47.2,Md. Abdul Bari,BNP,158065.0,SM Rashedul Alam,Jamaat,92517.0,65548.0,351572,174177,177393,2,Normal,250582.0,63.079151734761474,26.158303469522952,49.54234125584517,50.457089870638164,0.0005688735166623053,-0.9147486147929911,Moderate
